10	60025	+	CG	28	30
10	60026	-	CG	29	30
10	60089	+	CG	28	31
10	60090	-	CG	32	33
10	60109	+	CG	23	23
10	60110	-	CG	27	31
10	60140	+	CG	30	31
10	60141	-	CG	24	31
10	60142	+	CG	25	31
10	60143	-	CG	16	17
10	60163	+	CG	32	37
10	60164	-	CG	36	38
10	60332	+	CG	28	31
10	60333	-	CG	29	31
10	60400	+	CG	35	36
10	60401	-	CG	40	43
10	60426	+	CG	30	31
10	60427	-	CG	33	34
10	60478	+	CG	18	23
10	60479	-	CG	29	30
10	60515	+	CG	28	28
10	60516	-	CG	28	31
10	61057	+	CG	29	30
10	61058	-	CG	13	15
10	61333	+	CG	26	28
10	61334	-	CG	30	30
10	61653	+	CG	32	34
10	61654	-	CG	29	30
10	62173	+	CG	29	29
10	62174	-	CG	27	32
10	62730	+	CG	36	36
10	62731	-	CG	25	25
10	63500	+	CG	23	23
10	63501	-	CG	15	17
10	63585	+	CG	32	32
10	63586	-	CG	26	27
10	63683	+	CG	21	24
10	63684	-	CG	27	31
10	63699	+	CG	27	30
10	63700	-	CG	19	24
10	63982	+	CG	21	26
10	63983	-	CG	24	27
10	64051	+	CG	25	28
10	64052	-	CG	28	32
10	64774	+	CG	26	28
10	64775	-	CG	32	33
10	65000	+	CG	30	31
10	65001	-	CG	27	28
10	65530	+	CG	23	24
10	65531	-	CG	24	26
10	65587	+	CG	30	33
10	65588	-	CG	27	36
10	65649	+	CG	21	23
10	65650	-	CG	34	35
10	65681	+	CG	36	42
10	65682	-	CG	31	32
10	65765	+	CG	24	26
10	65766	-	CG	22	22
10	65768	+	CG	33	33
10	65769	-	CG	36	37
10	66269	+	CG	30	33
10	66270	-	CG	36	38
10	66273	+	CG	29	32
10	66274	-	CG	30	31
10	66481	+	CG	28	31
10	66482	-	CG	23	32
10	66844	+	CG	29	29
10	66845	-	CG	31	33
10	66938	+	CG	30	34
10	66939	-	CG	25	33
10	67276	+	CG	29	35
10	67277	-	CG	32	34
10	67300	+	CG	32	33
10	67301	-	CG	28	28
10	67322	+	CG	35	35
10	67323	-	CG	28	30
10	67356	+	CG	32	33
10	67357	-	CG	31	35
10	67386	+	CG	26	26
10	67387	-	CG	31	34
10	67395	+	CG	22	24
10	67396	-	CG	31	33
10	67471	+	CG	33	36
10	67472	-	CG	17	18
10	67598	+	CG	22	22
10	67599	-	CG	27	27
10	67946	+	CG	22	23
10	67947	-	CG	26	29
10	68055	+	CG	32	33
10	68056	-	CG	24	26
10	68239	+	CG	33	36
10	68240	-	CG	33	35
10	68452	+	CG	32	33
10	68453	-	CG	26	29
10	68640	+	CG	28	30
10	68641	-	CG	29	32
10	68677	+	CG	24	25
10	68678	-	CG	29	30
10	68888	+	CG	24	29
10	68889	-	CG	31	33
10	69008	+	CG	34	37
10	69009	-	CG	19	28
10	69046	+	CG	37	37
10	69047	-	CG	26	28
10	69063	+	CG	26	27
10	69064	-	CG	28	29
10	69083	+	CG	23	23
10	69084	-	CG	36	36
10	69122	+	CG	20	22
10	69123	-	CG	31	33
10	69164	+	CG	29	30
10	69165	-	CG	36	37
10	69458	+	CG	33	35
10	69459	-	CG	26	30
10	69534	+	CG	21	22
10	69535	-	CG	30	31
10	69705	+	CG	29	32
10	69706	-	CG	31	32
10	70182	+	CG	24	25
10	70183	-	CG	26	27
10	70689	+	CG	33	34
10	70690	-	CG	31	33
10	70877	+	CG	26	30
10	70878	-	CG	35	38
10	70893	+	CG	31	31
10	70894	-	CG	29	30
10	71028	+	CG	34	38
10	71029	-	CG	25	26
10	71160	+	CG	27	27
10	71161	-	CG	31	34
10	71267	+	CG	29	31
10	71268	-	CG	33	34
10	71472	+	CG	30	30
10	71473	-	CG	27	34
10	71478	+	CG	20	25
10	71479	-	CG	22	24
10	71667	+	CG	35	37
10	71668	-	CG	30	32
10	71723	+	CG	30	35
10	71724	-	CG	28	31
10	71765	+	CG	27	28
10	71766	-	CG	24	27
10	71796	+	CG	23	26
10	71797	-	CG	32	35
10	71805	+	CG	17	19
10	71806	-	CG	22	23
10	71936	+	CG	25	27
10	71937	-	CG	32	34
10	72234	+	CG	24	27
10	72235	-	CG	33	36
10	72268	+	CG	29	31
10	72269	-	CG	30	32
10	72297	+	CG	32	32
10	72298	-	CG	29	29
10	72320	+	CG	29	31
10	72321	-	CG	26	26
10	72399	+	CG	38	39
10	72400	-	CG	25	26
10	72409	+	CG	29	30
10	72410	-	CG	18	19
10	72414	+	CG	32	32
10	72415	-	CG	21	21
10	72452	+	CG	29	31
10	72453	-	CG	26	28
10	72454	+	CG	28	32
10	72455	-	CG	31	34
10	72465	+	CG	34	39
10	72466	-	CG	26	29
10	72521	+	CG	31	32
10	72522	-	CG	31	35
10	72551	+	CG	27	29
10	72552	-	CG	25	25
10	72595	+	CG	25	28
10	72596	-	CG	20	25
10	72774	+	CG	39	39
10	72775	-	CG	33	33
10	72815	+	CG	30	30
10	72816	-	CG	21	29
10	73426	+	CG	34	36
10	73427	-	CG	31	33
10	73435	+	CG	29	30
10	73436	-	CG	26	29
10	73454	+	CG	27	29
10	73455	-	CG	31	35
10	73522	+	CG	22	27
10	73523	-	CG	23	28
10	73536	+	CG	29	32
10	73537	-	CG	24	30
10	73555	+	CG	29	31
10	73556	-	CG	28	29
10	73578	+	CG	35	37
10	73579	-	CG	27	27
10	73590	+	CG	35	37
10	73591	-	CG	33	33
10	73600	+	CG	30	32
10	73601	-	CG	21	29
10	73615	+	CG	36	37
10	73616	-	CG	30	31
10	73630	+	CG	29	33
10	73631	-	CG	23	28
10	73640	+	CG	28	29
10	73641	-	CG	37	38
10	73648	+	CG	31	33
10	73649	-	CG	29	30
10	73661	+	CG	22	23
10	73662	-	CG	33	34
10	73750	+	CG	27	27
10	73751	-	CG	22	30
10	73759	+	CG	29	32
10	73760	-	CG	28	29
10	73779	+	CG	28	32
10	73780	-	CG	19	19
10	73812	+	CG	20	26
10	73813	-	CG	28	30
10	73829	+	CG	24	26
10	73830	-	CG	24	26
10	73842	+	CG	33	35
10	73843	-	CG	28	31
10	73955	+	CG	26	30
10	73956	-	CG	37	37
10	73976	+	CG	29	29
10	73977	-	CG	24	26
10	73987	+	CG	36	38
10	73988	-	CG	39	42
10	73995	+	CG	24	32
10	73996	-	CG	25	26
10	74034	+	CG	36	36
10	74035	-	CG	28	31
10	74103	+	CG	36	40
10	74104	-	CG	31	31
10	74109	+	CG	27	29
10	74110	-	CG	29	29
10	74132	+	CG	27	27
10	74133	-	CG	26	28
10	74152	+	CG	28	29
10	74153	-	CG	28	28
10	74170	+	CG	24	28
10	74171	-	CG	34	34
10	74274	+	CG	22	22
10	74275	-	CG	34	34
10	74341	+	CG	32	32
10	74342	-	CG	40	40
10	74441	+	CG	18	20
10	74442	-	CG	27	28
10	74461	+	CG	32	33
10	74462	-	CG	27	27
10	74503	+	CG	30	32
10	74504	-	CG	32	32
10	74520	+	CG	22	25
10	74521	-	CG	27	28
10	74754	+	CG	24	27
10	74755	-	CG	20	22
10	74829	+	CG	26	27
10	74830	-	CG	34	36
10	75030	+	CG	30	33
10	75031	-	CG	35	40
10	75039	+	CG	43	44
10	75040	-	CG	33	34
10	75260	+	CG	29	29
10	75261	-	CG	30	32
10	75584	+	CG	23	23
10	75585	-	CG	36	36
10	75754	+	CG	32	33
10	75755	-	CG	27	34
10	75789	+	CG	27	30
10	75790	-	CG	20	22
10	75896	+	CG	32	35
10	75897	-	CG	26	32
10	75993	+	CG	30	31
10	75994	-	CG	29	31
10	76199	+	CG	25	26
10	76200	-	CG	26	26
